,Age,City_Category,Gender,Marital_Status,Occupation,Stay_In_Current_City_Years
0,55+,A,F,0.0,8.0,0
1,26-35,C,M,0.0,8.0,0
2,26-35,C,M,0.0,8.0,0
3,55+,C,M,1.0,8.0,0
4,26-35,A,M,0.0,0.0,0
5,55+,C,F,1.0,0.0,0
6,36-45,C,M,0.0,0.0,0
7,26-35,A,M,1.0,0.0,0
8,26-35,A,M,1.0,0.0,0
9,26-35,C,M,1.0,0.0,0
10,36-45,C,F,1.0,0.0,0
11,26-35,A,M,0.0,0.0,0
12,36-45,C,F,0.0,0.0,0
13,36-45,A,F,0.0,0.0,0
14,36-45,A,M,0.0,0.0,0
15,18-25,C,M,1.0,0.0,0
16,26-35,B,M,0.0,0.0,0
17,36-45,B,M,1.0,0.0,0
18,36-45,C,F,1.0,0.0,0
19,36-45,B,M,0.0,0.0,0
20,26-35,A,F,0.0,0.0,0
21,26-35,B,M,0.0,0.0,0
22,0-17,C,F,0.0,0.0,0
23,26-35,A,F,1.0,0.0,0
24,46-50,C,M,1.0,0.0,0
25,55+,C,M,0.0,0.0,0
26,36-45,C,M,1.0,0.0,0
27,46-50,C,M,1.0,0.0,0
28,26-35,A,F,1.0,0.0,0
29,36-45,C,M,1.0,0.0,0
30,18-25,C,M,0.0,0.0,0
31,0-17,C,F,0.0,0.0,0
32,26-35,B,M,0.0,0.0,0
33,26-35,C,F,0.0,0.0,0
34,18-25,A,M,0.0,0.0,0
35,46-50,C,F,1.0,0.0,0
36,36-45,B,M,0.0,0.0,0
37,46-50,C,F,1.0,0.0,0
38,26-35,C,M,0.0,0.0,0
39,18-25,B,F,1.0,0.0,0
40,26-35,B,M,0.0,0.0,0
41,26-35,B,M,0.0,0.0,0
42,46-50,C,M,1.0,0.0,0
43,36-45,B,M,1.0,0.0,0
44,26-35,B,M,1.0,0.0,0
45,46-50,C,M,1.0,0.0,0
46,26-35,A,M,0.0,0.0,0
47,46-50,B,F,0.0,0.0,0
48,51-55,C,F,1.0,0.0,0
49,26-35,C,M,1.0,0.0,0
50,26-35,C,M,0.0,0.0,0
51,18-25,C,M,0.0,0.0,0
52,55+,C,M,1.0,0.0,0
53,18-25,B,F,1.0,0.0,0
54,36-45,C,M,0.0,0.0,0
55,26-35,C,F,0.0,0.0,0
56,18-25,B,F,0.0,0.0,0
57,51-55,B,M,1.0,0.0,0
58,26-35,A,M,0.0,0.0,0
59,51-55,C,F,1.0,0.0,0
60,26-35,A,M,1.0,0.0,0
61,55+,A,M,0.0,0.0,0
62,51-55,C,F,0.0,0.0,0
63,18-25,B,F,0.0,0.0,0
64,26-35,C,M,0.0,0.0,0
65,18-25,A,M,0.0,0.0,0
66,51-55,A,F,1.0,0.0,0
67,36-45,B,M,0.0,0.0,0
68,51-55,C,F,1.0,0.0,0
69,36-45,C,F,0.0,0.0,0
70,46-50,C,M,1.0,0.0,0
71,26-35,B,M,1.0,0.0,0
72,36-45,A,F,1.0,0.0,0
73,26-35,C,M,0.0,0.0,0
74,26-35,B,M,1.0,0.0,0
75,18-25,C,M,1.0,0.0,0
76,46-50,C,M,0.0,0.0,0
77,26-35,C,M,0.0,0.0,0
78,36-45,C,F,1.0,0.0,0
79,26-35,C,M,0.0,0.0,0
80,46-50,B,M,1.0,0.0,0
81,18-25,C,M,0.0,0.0,0
82,18-25,B,M,0.0,0.0,0
83,36-45,C,M,1.0,0.0,0
84,51-55,A,M,1.0,0.0,0
85,46-50,A,F,1.0,0.0,0
86,26-35,B,M,0.0,0.0,0
87,26-35,B,F,1.0,0.0,0
88,46-50,C,M,1.0,0.0,0
89,0-17,C,M,0.0,0.0,0
90,26-35,B,M,1.0,0.0,0
91,18-25,A,F,0.0,0.0,0
92,55+,C,F,1.0,0.0,0
93,18-25,C,F,1.0,0.0,0
94,55+,B,M,1.0,0.0,0
95,26-35,A,F,1.0,0.0,0
96,55+,A,F,0.0,1.0,0
97,36-45,C,M,0.0,1.0,0
98,55+,A,M,0.0,1.0,0
99,26-35,C,F,0.0,1.0,0
100,26-35,C,F,1.0,1.0,0
101,46-50,C,M,1.0,1.0,0
102,26-35,C,M,0.0,1.0,0
103,55+,B,M,0.0,1.0,0
104,46-50,C,M,1.0,1.0,0
105,46-50,C,F,0.0,1.0,0
106,26-35,A,M,1.0,1.0,0
107,51-55,C,M,0.0,1.0,0
108,18-25,C,F,0.0,1.0,0
109,26-35,A,M,0.0,1.0,0
110,26-35,C,M,1.0,1.0,0
111,36-45,A,F,0.0,1.0,0
112,26-35,C,M,1.0,1.0,0
113,26-35,C,M,0.0,1.0,0
114,18-25,B,F,0.0,1.0,0
115,51-55,A,M,0.0,1.0,0
116,55+,C,M,1.0,1.0,0
117,18-25,C,M,0.0,1.0,0
118,26-35,B,M,0.0,1.0,0
119,51-55,C,F,0.0,1.0,0
120,46-50,C,M,1.0,1.0,0
121,36-45,B,F,0.0,1.0,0
122,26-35,C,M,0.0,1.0,0
123,18-25,B,M,0.0,1.0,0
124,26-35,C,M,0.0,1.0,0
125,46-50,C,F,1.0,1.0,0
126,18-25,A,F,1.0,1.0,0
127,36-45,B,M,1.0,1.0,0
128,55+,C,F,0.0,1.0,0
129,36-45,C,M,1.0,1.0,0
130,26-35,C,F,0.0,1.0,0
131,26-35,A,F,1.0,1.0,0
132,18-25,B,F,1.0,1.0,0
133,26-35,A,M,1.0,1.0,0
134,46-50,B,F,1.0,1.0,0
135,26-35,C,M,0.0,1.0,0
136,36-45,C,M,0.0,1.0,0
137,46-50,C,M,1.0,1.0,0
138,51-55,C,F,1.0,1.0,0
139,26-35,C,M,0.0,1.0,0
140,26-35,C,F,1.0,1.0,0
141,46-50,C,F,1.0,1.0,0
142,55+,B,M,1.0,1.0,0
143,51-55,C,M,1.0,1.0,0
